id,name,level,health_min,health_max,armor_class,damage,gold_min,gold_max,aggressive,file,description
black_orchid,Black Orchid,1,20,20,0,0,0,2,True,plant,"The black orchid stands over four feet tall, moving around on its sticky tendrils."
black_rabbit,Black Rabbit,1,10,10,0,0,0,0,True,beast,The black rabbit is large and fluffy with floppy ears and big brown eyes.
carrion_creeper,Carrion Creeper,1,20,20,0,0,0,2,True,plant,"The carrion creeper is a knotted mass of thorny vines which writhes about chaotically. You detect the fetid odor of rotting flesh, and notice several small animal carcasses tangled within this vile aberration."
constrictor_ivy,Constrictor Ivy,1,10,10,0,0,0,2,True,plant,"The constrictor ivy is a long snake-like vine, slithering about in search of food."
female_kobold,Female Kobold,1,10,10,0,0,0,3,False,humanoid,"The kobold is a small humanoid with doglike facial features and is covered with coarse body hair. She stands just over three feet in height, is wearing a filthy tunic, and is armed with {0} {1}."
female_orc,Female Orc,1,10,10,0,0,0,3,False,humanoid,"The orc is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. She stands just over four feet in height, is wearing a leather tunic, and is armed with {0} {1}."
fox,Fox,1,10,10,0,0,0,0,True,beast,The fox hides in the nearby brush and seems very skittish.
frog,Frog,1,10,10,0,0,0,0,True,beast,The frog is small and green and appears to be a good jumper.
giant_bat,Giant Bat,1,10,10,0,0,0,2,False,humanoid,The giant bat has a wingspan of over twelve feet and has wicked looking claws and teeth.
giant_bat,Giant Bat,1,10,10,0,0,0,0,True,beast,The giant bat has a wingspan of over twelve feet and has wicked looking claws and teeth.
rat,Giant Rat,1,15,15,0,0,1,3,True,beast,"A large, mangy rat with yellowed teeth and beady red eyes. It looks hungry and aggressive."
giant_scorpion,Giant Scorpion,1,10,10,0,0,0,2,True,humanoid,"The giant scorpion resembles a common scorpion, except that it is over eight feet in length."
giant_scorpion,Giant Scorpion,1,10,10,0,0,0,0,True,beast,"The giant scorpion resembles a common scorpion, except that it is over eight feet in length."
giant_slug,Giant Slug,1,10,10,0,0,0,2,True,humanoid,The giant slug is over seven feet long and drools acidic spittle from its maw.
giant_slug,Giant Slug,1,10,10,0,0,0,0,True,beast,The giant slug is over seven feet long and drools acidic spittle from its maw.
huge_rat,Huge Rat,1,10,10,0,0,0,2,False,beast,"The huge rat resembles rats you've seen before, except that it is about two feet tall at the shoulder, and seems much more aggressive."
huge_toad,Huge Toad,1,10,10,0,0,0,0,True,beast,"The huge toad resembles a common toad, except that it is just over three feet tall, and seems very aggressive."
imp,Imp,1,10,10,0,0,0,3,False,demon,The imp is a tiny humanoid with pointed ears and bright red skin. It stands just over two feet in height and is armed with {0} {1}.
kobold,Kobold,1,10,10,0,0,0,3,False,humanoid,"The kobold is a small humanoid with doglike facial features and is covered with coarse body hair. He stands just under four feet in height, is wearing a filthy tunic, and is armed with {0} {1}."
lesser_demon,Lesser Demon,1,10,10,0,0,1,5,True,demon,The lesser demon is a spindly bipedal humanoid with dark yellowish skin and wicked claws and teeth. He stands about five feet tall and fixes you with a baleful stare.
lesser_demoness,Lesser Demoness,1,10,10,0,0,0,3,False,demon,The lesser demoness is a spindly bipedal humanoid with light yellowish skin and wicked claws and teeth. She stands about five feet tall and fixes you with a baleful stare.
lizard,Lizard,1,10,10,0,0,0,0,True,beast,The lizard is small and purple and moves very quickly.
monkey,Monkey,1,10,10,0,0,0,0,True,beast,The monkey is quick and playful and watches you warily.
orc,Orc,1,10,10,0,0,0,3,False,humanoid,"The orc is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. He stands just under five feet in height, is wearing a leather cuirass, and is armed with {0} {1}."
owl,Owl,1,10,10,0,0,0,0,True,beast,The owl is perched in a nearby tree watching you intently.
pink_orchid,Pink Orchid,1,10,10,0,0,0,2,True,plant,"The pink orchid stands about three feet tall, moving around on its thin tendrils."
reaper_shrub,Reaper Shrub,1,40,40,0,0,0,0,True,plant,"The reaper shrub is a squat thorny plant, moving slowly about on thick gnarled roots. Its spiney branches rustle ominously at your presence."
reaper_shrub,Reaper Shrub,1,40,40,0,0,0,2,True,beast,"The reaper shrub is a squat thorny plant, moving slowly about on thick gnarled roots. Its spiney branches rustle ominously at your presence."
red_orchid,Red Orchid,1,10,10,0,0,0,2,True,plant,"The red orchid stands over three feet tall, moving around on its thin tendrils."
shade,Shade,1,10,10,0,0,0,0,True,undead,The shade is a dark shadowy figure. You can tell very little about it except that its eyes strongly resemble burning coals. It occasionally emits a low moan and watches your movements closely.
skeleton_warrior,Skeleton Warrior,1,10,10,0,0,0,2,True,undead,"The skeleton warrior is wearing tattered armor and mouldering bits of old clothing, and is armed with {0} {1}."
squirrel,Squirrel,1,10,10,0,0,0,0,True,beast,The squirrel sits in a nearby tree and chitters at you.
strangle_vine,Strangle Vine,1,10,10,0,0,0,2,True,plant,The strangle vine is a large bulbous plant with several writhing vines sprouting from it. It moves slowly about on gnarled roots.
white_orchid,White Orchid,1,10,10,0,0,0,2,True,plant,"The white orchid stands about two feet tall, moving around on its thin tendrils."
white_rabbit,White Rabbit,1,10,10,0,0,0,0,True,beast,The white rabbit is large and fluffy with floppy ears and big brown eyes.
yellow_orchid,Yellow Orchid,1,20,20,0,0,0,2,True,plant,"The yellow orchid stands about four feet tall, moving around on its thin tendrils."
zombie,Zombie,1,10,10,0,0,0,2,True,undead,"The zombie has a blank expression on its face. It is wearing old soiled clothing, and is armed with {0} {1}."
alligator,Alligator,2,20,20,0,0,0,0,True,beast,The alligator watches your every move closely and snaps at you.
anaconda,Anaconda,2,20,20,0,0,0,0,True,beast,"The anaconda is an enormous constrictor snake well over forty feet in length. Its scales range in color from an emerald green to a dark blue, and its body is thicker than some tree trunks you've seen."
barbarian,Barbarian,2,30,30,0,0,0,13,True,humanoid,"The barbarian is dressed in the hides of furred animals, and is armed with {0}. He has a look of great strength and cunning."
black_bear,Black Bear,2,20,20,0,0,0,4,False,beast,The black bear has shaggy black fur run through with reddish brown streaks and stands well over four feet tall at the shoulder.
brigand,Brigand,2,20,20,0,0,0,13,True,humanoid,"The brigand has the look of a common thief, and is dressed in a cheap, but flashy outfit. He is also wearing chain armor and is armed with {0}."
cave_bear,Cave Bear,2,20,20,0,0,0,4,True,beast,The cave bear has dark brown fur and stands well over seven feet tall at the shoulder. Its teeth and claws gleam like daggers as it sizes you up.
centaur,Centaur,2,20,20,0,0,0,7,True,humanoid,"The centaur has the body of a horse with the upper torso, arms, and head of a well muscled man. He has long hair which he wears in a tight braid, and is armed with {0} {1}."
female_barbarian,Female Barbarian,2,30,30,0,0,0,12,True,humanoid,"The barbarian is dressed in the hides of furred animals, and is armed with {0}. She has a look of great strength and cunning."
female_brigand,Female Brigand,2,20,20,0,0,0,12,True,humanoid,"The brigand has the look of a common thief, and is dressed in a cheap, but flashy outfit. She is also wearing leather armor and is armed with {0}."
female_centaur,Female Centaur,2,20,20,0,0,0,6,True,humanoid,"The centaur has the body of a horse with the upper torso, arms, and head of a well built woman. She has long hair which she wears in a tight braid, and is armed with {0} {1}."
female_gnoll,Female Gnoll,2,20,20,0,0,0,7,False,humanoid,"The gnoll is a tall humanoid with hyenalike facial features and is covered by thick golden brown body hair. She stands just over six feet in height, is wearing a leather cuirass and trousers, and is armed with {0} {1}."
female_hobgoblin,Female Hobgoblin,2,20,20,0,0,0,7,False,humanoid,"The hobgoblin is a squat apelike humanoid with dark skin and pointed ears. She stands just under five feet tall, is wearing a leather cuirass, and is armed with {0} {1}."
female_minotaur,Female Minotaur,2,20,20,0,0,0,6,True,humanoid,"The minotaur has the upper torso of a muscular woman, and the head, legs, and hooves of a bull. She is wearing ringmail armor, and is armed with {0} {1}."
female_satyr,Female Satyr,2,20,20,0,0,0,6,False,humanoid,"The satyr has the upper torso of well built woman, and the lower torso, legs, and hooves of a goat. She is armed with {0} {1}."
fire_beetle,Fire Beetle,2,10,10,0,0,0,0,True,beast,"The fire beetle is a huge reddish brown beetle, about four feet long, with a thick shiny carapace, and strong, wickedly sharp mandibles."
giant_asp,Giant Asp,2,20,20,0,0,0,4,True,humanoid,The giant asp is an enormous viper over twenty feet in length. Its scales are a dull tan and it's body is thicker than a large man's arm.
giant_asp,Giant Asp,2,20,20,0,0,0,0,True,beast,The giant asp is an enormous viper over twenty feet in length. Its scales are a dull tan and it's body is thicker than a large man's arm.
giant_spider,Giant Spider,2,20,20,0,0,0,4,True,humanoid,"The giant spider's body is over six feet long, and it has thick hairy legs. A thick oily liquid drips from its mandibles."
giant_spider,Giant Spider,2,20,20,0,0,0,0,True,beast,"The giant spider's body is over six feet long, and it has thick hairy legs. A thick oily liquid drips from its mandibles."
gnoll,Gnoll,2,20,20,0,0,0,8,True,humanoid,"The gnoll is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands just under seven feet in height, is wearing a chainmail shirt and trousers, and is armed with {0} {1}."
goblin_scout,Goblin Scout,2,25,25,0,0,2,8,True,humanoid,"A small, green-skinned creature wearing tattered leather armor. It carries a crude dagger and looks ready for trouble."
hobgoblin,Hobgoblin,2,20,20,0,0,0,8,True,humanoid,"The hobgoblin is a squat apelike humanoid with dark skin and pointed ears. He stands just over five feet tall, is wearing a leather cuirass, and is armed with {0} {1}."
hyena,Hyena,2,20,20,0,0,0,0,True,beast,The hyena looks ravenous and extremely viscious. It snarls menacingly and bares its teeth at you.
jackal,Jackal,2,20,20,0,0,0,0,True,beast,The jackal looks extremely viscious. It snarls menacingly and bares its teeth at you.
leopard,Leopard,2,20,20,0,0,0,0,True,beast,The leopard has luxurious looking spotted fur. It growls menacingly and bares its teeth at you.
lizard_man,Lizard Man,2,20,20,0,0,0,14,True,beast,"The lizard man is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. The lizard man is armed with {0}."
lizard_woman,Lizard Woman,2,20,20,0,0,0,13,True,beast,"The lizard woman is a five foot tall bipedal humanoid who's features resemble those of a large lizard. She has greyish scaley skin, and sharp claws and teeth. The lizard woman is armed with {0}."
orc_warrior,Orc Warrior,2,20,20,0,0,0,7,False,humanoid,"The orc warrior is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. He stands just over five feet in height, is wearing chainmail armor, and is armed with {0} {1}."
ram,Ram,2,15,30,2,1d6,0,5,False,beast,A sturdy ram with curved horns.
red_bear,Red Bear,2,30,30,0,0,0,4,True,beast,The red bear has shaggy reddish fur run through with black streaks and stands just over five feet tall at the shoulder.
satyr,Satyr,2,20,20,0,0,0,7,False,humanoid,"The satyr has the upper torso of man with a lot of body hair, and the lower torso, legs, and hooves of a goat. He is armed with {0} {1}."
wild_boar,Wild Boar,2,20,20,0,0,0,4,False,beast,The wild boar has dark coarse hair and makes a low whining sound. It has two sharp tusks which curve upwards from the sides of its mouth.
wolf,Wolf,2,20,20,0,0,0,4,False,beast,The wolf is very large and has greyish fur and icey blue eyes. It growls at you menacingly and bares its teeth.
carrion_crane,Carrion Crane,3,30,30,0,0,0,0,True,beast,"The carrion crane is nearly eight feet tall, has dull grey plumage and a very wicked looking hooked ebony beak."
female_cyclops,Female Cyclops,3,30,30,0,0,0,10,True,giant,"The cyclops resembles a very large woman with only one eye in the center of her forehead. She stands over eleven feet tall, and is armed with a spiked club."
female_nomad,Female Nomad,3,30,30,0,0,0,12,True,humanoid,The nomad has dark skin and the look of someone hardened by the harsh environment in which she lives. She is wearing dark linen clothing and is armed with a scimitar.
gnoll_warrior,Gnoll Warrior,3,30,30,0,0,0,10,True,humanoid,"The gnoll warrior is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands just under seven feet in height, is wearing chainmail armor, and is armed with {0} {1}."
lizard_shaman,Lizard Shaman,3,20,20,0,0,0,14,True,beast,"The lizard shaman is a five foot tall bipedal humanoid who's features resemble those of a large lizard. She has greyish scaley skin, and sharp claws and teeth. She is wearing robes and is armed with {0} {1}."
lizard_warrior,Lizard Warrior,3,30,30,0,0,0,11,True,humanoid,"The lizard warrior is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is armed with {0} {1}."
lizard_warrior,Lizard Warrior,3,30,30,0,0,0,15,True,beast,"The lizard warrior is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is armed with {0} {1}."
minotaur,Minotaur,3,30,30,0,0,0,10,True,humanoid,"The minotaur has the upper torso of a muscular man, and the head, legs, and hooves of a bull. He is wearing ringmail armor, and is armed with {0} {1}."
mountain_ape,Mountain Ape,3,30,30,0,0,0,6,True,beast,"The mountain ape is nearly seven feet tall, has thick reddish brown fur and looks very strong."
nomad,Nomad,3,30,30,0,0,0,13,True,humanoid,The nomad has dark skin and the look of someone hardened by the harsh environment in which he lives. He is wearing dark linen clothing and is armed with a scimitar.
ogre,Ogre,3,30,30,0,0,0,10,True,humanoid,The ogre resembles an enormous and very ugly man. He stands over eight feet tall and is very muscular. His clothing is filthy and poorly made. He is armed with {0} {1}.
ogress,Ogress,3,30,30,0,0,0,9,True,humanoid,The ogress resembles an enormous and very ugly woman. She stands over seven feet tall and is very muscular. Her clothing is filthy and poorly made. She is armed with {0} {1}.
orc_shaman,Orc Shaman,3,30,30,0,0,0,9,False,humanoid,"The orc shaman is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. She stands just under five feet in height, is wearing robes, and is armed with {0} {1}."
pink_bunny,Pink Bunny,3,20,20,0,0,0,0,True,beast,The pink bunny is small and fluffy with perky ears and big blue eyes.
swordsman,Swordsman,3,30,30,0,0,0,13,True,humanoid,"The swordsman has an air of confidence about him. He is wearing chain armor, and is armed with a {0} which he wields skillfully."
swordswoman,Swordswoman,3,30,30,0,0,0,12,True,humanoid,"The swordswoman has an air of confidance about her. She is wearing chain armor, and is armed with a {0} which she wields skillfully."
cave_lion,Cave Lion,4,40,40,0,0,0,8,True,beast,The cave lion is a huge black animal which stands over six feet tall at the shoulder and has wicked curved claws and razor sharp teeth.
chimera,Chimera,4,40,40,0,0,0,8,True,magical_creature,"The chimera has the body of a lion, leathery wings and two heads which resemble those of a dragon. Thin streams of smoke curl upwards from its nostrils."
cyclops,Cyclops,4,40,40,0,0,0,13,True,giant,"The cyclops resembles a very large man with only one eye in the center of his forehead. He stands over twelve feet tall, and is armed with a spiked club."
female_troll,Female Troll,4,40,40,0,0,0,8,False,humanoid,The troll resembles a large ugly woman with yellowish green skin and wicked claws. Her skin is covered with warts and tufts of stiff greenish hair.
gargoyle,Gargoyle,4,50,50,0,0,0,0,True,magical_creature,"The gargoyle is a heavily muscled, grey skinned humanoid with large leathery wings and wicked claws."
ghoul,Ghoul,4,40,40,0,0,0,8,True,undead,"The ghoul is a lithe, though muscular humanoid with tightly drawn brownish flesh and cloven hooves. Its teeth and nails are yellowish and look very sharp."
gnoll_shaman,Gnoll Shaman,4,40,40,0,0,0,12,False,humanoid,"The gnoll shaman is a tall humanoid with hyenalike facial features and is covered by thick golden brown body hair. She stands just over six feet in height, is wearing robes, and is armed with {0} {1}."
gnoll_subchief,Gnoll Subchief,4,40,40,0,0,0,13,True,humanoid,"The gnoll subchief is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands just over seven feet in height, is wearing scalemail armor, and is armed with {0} {1}."
griffon,Griffon,4,40,40,0,0,0,0,True,magical_creature,"The griffon has the body of a lion, and the front feet, head, and wings of an eagle. It has razor sharp talons and a large black beak."
larochess,Larochess,4,30,30,0,0,0,14,True,humanoid,"The larochess resembles a large well built woman with pale bluish skin pointed ears, and a short tail. She is very muscular and stands nearly nine feet tall. She is wearing leather armor, and is armed with {0}."
larochet,Larochet,4,30,30,0,0,0,15,True,humanoid,"The larochet resembles a large well built man with dark bluish skin, pointed ears, and a short tail. He is very muscular and stands over nine feet tall. He is wearing a cuirass, and is armed with {0}."
lizard_subchief,Lizard Subchief,4,40,40,0,0,1,16,True,beast,"The lizard subchief is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is armed with {0} {1}."
magmaman,Magmaman,4,50,50,0,0,0,0,True,humanoid,"The magmaman resembles a humanoid non-descript creature, seemingly formed from molten rock. He has two thick arm-like appendages, ending in dripping claws."
mountain_lion,Mountain Lion,4,40,40,0,0,0,8,True,beast,The mountain lion has dark brown spotted fur. It growls menacingly and bares its teeth at you.
ogre_mage,Ogre Mage,4,50,50,0,0,0,14,True,humanoid,"The ogre mage is wearing a steel breastplate and bracers, and is armed with {0} {1}. He is also wearing a dark red cloak."
ogress_mage,Ogress Mage,4,40,40,0,0,0,13,False,humanoid,"The ogress mage is wearing a steel breastplate and bracers, and is armed with {0} {1}. She is also wearing a dark red cloak."
orc_chieftain,Orc Chieftain,4,40,40,0,0,0,13,False,humanoid,"The orc chieftain is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. He stands well over five feet in height, is wearing chainmail armor, and is armed with {0} {1}."
